n_votes	n_comments	year	selected	title	speaker_info	section	target_audience	type	prerequisites	description	speaker_link_present	content_url_present	deadlinediff
3	3	2015	False	security intelligence python	hilal ahmad lone security champion security architect intuit  years experience programming information security while busy coding likes hike motorcycle rides attend conferencesvarsha aggarwal graduated pesit currently working software engineer intuit she programming nerd passion coding developing security applicationsrohit mual senior software engineer intuit loves security he working it industry  years active community	data visualization analytics	intermediate	talks	"basic understanding of
 python pandas numpy
 information security intelligence"	"security threat intelligence buzz words information security there really great tools commercial open source make threat security intelligence easy gather implement however common issue threat feeds geolocation filters black whitelists sometimes unable figure false positives false negatives 
using python develop incredibly useful threat intelligence gathering tools collect use data social networks link analytics mood analytics collect security trends create dashboards use proper context this help enterprises individuals  degree view threat landscape"	False	True	4
4	0	2015	False	geopython python spatial data	electronics engineer  years experience working software different domains different counties plethora languagescurrently i work indian space research organisation bionot updated hooked pythonhave  publication using python develop software geospatial data recent  	scientific computing	intermediate	workshops	knowledge prerequisitessoftware prerequisitesyou could install separately use default editor editor choice sublime etcoryou could install distribution like anaconda canopy gdal prove tricky sometimes the pypi gdal page gives fairly detailed instructions installation however i strongly suggest fresh installation case import gdal work	geoprocessing tasks time intensive since often performed number different datasets large datasets numerous records scripting efficient method automating geoprocessing tasks examplecarry multiple steps geospatial analysis repeat eg multiple years multiple locationswith advent satellite technology aerial photography imaging uavs spatial data data geolocated come prominence google maps open street maps common reallife examples satellite imagery overlaid physical layers roads point interest etc used varied applications  navigation resource allocationthis workshop designed give necessary building blocks  modules python integrated used various purposes involving spatial data the workshop heavily derived geoprocessing python chris garrard deal nuances handling georeferenced raster vector data examples python hydrology touched upon show python enabled user community use integrate statistics time series satellite observations time permits participants exposed following packagesif still convinced attend  simply create python tools multibillion dollar geoprocessing software industry links      	False	False	11
7	1	2015	False	creating restful apis using django rest framework	i software engineer working aubrgine solutions i responsible managing mobile application backend as part job i design restful apis deploy cloud scalable way i also organizer docker ahmedabad meetup group i love learning working opensource technologies	web development	beginner	workshops	a laptop one enough free space install django djangorestframework postgresql text editor choice	in workshop i going following topics	True	False	69
6	1	2015	False	data processing map reduce  the python way	vishal kanaujia python developer technology enthusiast he delivered talks written articles python he speaker international conferences pycon apac singapore new zealand he delivering talks pycon scipy india he interest fields including python internals filesystems search technologies application performance optimizationhe shares thoughts opinion knowledge blog httpfreethreadswordpresscom technical papers articles international magazines including linux you agile record	data visualization analytics	beginner	talks	nan	modern businesses ecommerce analyze huge data sets derive business trends patterns hadoop popular choice store large data hdfs file system it introduced map reduce programming process data uses distributed highly scalable data crunching applicationspython provides array tools handle different stages data analysis data analysis involves following stagesin talk would discuss data pipeline stage python modules develop mapreduce applications work seamlessly hadoop cluster we would also demonstrate practical map reduce programming examples following python modules audience learn basics mapreduce principles develop scalable mapreduce programs process data sets hadoop	False	False	-1
10	1	2015	False	font design python	i work red hat india pvt ltd bangalore glusterfs httpwwwglusterorg  contributor i font design occasionally maintain two kannada fonts i use python work personal projects you find many projects github httpsgithubcomaravindavk 	others	intermediate	talks	basic knowledge fonts python	designing beautiful fonts time consuming task how automating non design tasks like adding rules running tests etc so concentrate design understanding adding rules takes lot time design indic fonts in talk discuss basics fonts design work flow automation pythonopen source font design tools usable compared tools available mac like glyphs designers prefer design type face using vector tools like inkscape svgs exported inkscape like tools imported outline images using python fontforge bindingsfont rules defined outside fonts using featurefiles using python fontforge merge rules fontpython libraries used	True	True	-112
4	0	2015	False	use devops bootstrap startup infra sleep peacefully night	i site reliability engineerat linkedin i like blogging playing open source technologies solving real life problems productivity peace mind goals i wish achieve lifemy background	infrastructure	beginner	talks	basics python linux things needed rest concepts explained talk	startups initial phases fast but start getting customers comes point need scale infra thats realize scaling infra current state damn difficult most wish somebody told build robust scalable infra with lots business priorities cant manage spend time researching things hiring experienced devops person hard startup might well bootstrapped funds issues like webserver process suddenly stopping disk getting filled adds frustration after ignoring postponing issues usually become pretty frequent this might distract devs considerably slow product releases worst disappoint customers end losing business built much hard workthrough talk i would like startup newbies commons problems might come across guide leverage python linuxto extent fix infra issues make releases faster peacefully sleep nighthopefullysession cover high level overview common issues strategies likethere wont deep diving tools infra strategy talk	True	False	6
17	3	2015	False	writing mercurial hooks for fun profit	pradeepto long time contributor free open source software he contributed kde project he founded kde india indian chapter kde  he currently serving director kde ev board he organised many kde meet ups conferences india he also contributed open source projects like nupic ops school curriculum he speaks regularly conferences events he mentored many people local open source communities also jobhe developed desktop mobile applications using cqtkde  past since last years building tools using ruby python chef help release qa engineering teams he led  devops qa teams multiple clients he designed implemented  cicd pipelines using various tools he expert continuous integration continuous deployment continuous deliveryhe currently director engineering  devops clogeny technologies pvt ltd msys company based pune india he lives pune wife	infrastructure	intermediate	talks	basics python any version control tools concepts  svn git mercurial etc 	mercurial one leading scm tools good scm tool worth salt hooks set things like precommit verifications run tests etc mercurial written python hg hooks written pythonwriting good commit messages important project writing good code one needs practice write good commit messages like anything else life often developers take bit seriously hence sometimes strict rules policies need implemented using commit hooks project enforce policies this talk try solve problemin talk i cover basics commit hooks fundamental concepts mercurial hooks various terminologies relevant mercurial hooks hg commit hooks written i start scratch develop simple useful mercurial hook python bunch precommit validations the hook i plan showcase talk close real life commit hook i used productiontalk outline key takeaways talk would following anyone basic knowledge python experience modern scm tool attend talk it fairly easy port ideas talk choice scm tools	True	True	-19
3	0	2015	False	selenium how use selenium test automation	"i introduce determined personality obsession lead successful team industry it quality assurance solutions seriously committed values i take personal interest developing team support every aspect serving clients with passion performing astoundingly well it industry gain huge recognition i built organization strong beliefs along team serve clients extraordinary things make us profoundly committed valuesmy commitment dedication values continue linger core kagrana software pvt ltd combining expertise advanced technology clear understanding customers need i attempt deliver business values consistently customers besides predictability pioneering efforts providing quality services enabled take kagrana software pvt ltd great heights short span since establishmenteducational background graduate computer science engineering dr mgr educational research institute chennaimy interest
 profound interest open source technology combined relevant hands experience
 passionate improve skills explore new things industry
 determined attitude serve clients  satisfaction
 firm handling business activity
 delivered number projects successfully clients short period"	testing	beginner	workshops	computerlaptop installed python good internet connection	"selenium automates browsers thats what power entirely primarily automating web applications testing purposes certainly limited boring webbased administration tasks also automated wellselenium support largest browser vendors taken taking steps make selenium native part browser it also core technology countless browser automation tools apis frameworksthis workshop i going explain selenium used test automation cross browser testing also going sample program developed executedoutline
selenium introduction  min
  selenium
  why selenium
  how selenium used test automation
installation first sample program  minutes
  install selenium using pip
  create first program using selenium
  cross browser testing using selenium
questions answers  mintotal  minutes"	False	True	-1
31	0	2015	False	bayesian learning using python	abinash panda undergraduate iit bhu varanasi currently working data scientist he contributor opensource libraries shogun machine learning toolbox pgmpy started writing along four members he spending free time improving pgmpy helping new contributorsankur ankan btech graduate iit varanasi currently working field data science he open source enthusiast major work includes  starting pgmpy four members presently working improving performance pgmpy also mentoring gsoc students participating pgmpy in free time likes participate kaggle competitions	scientific computing	intermediate	workshops	nan	introduction scipy stackintroduction probability theorythinking like bayesianistprobabilistic graphical models pgms	False	False	-43
6	0	2015	True	using devstack contribute openstack	works redhatsoftware contribute openstack follow bigdata docker cloud virtualization write  httpblogcoolsvapnet   httpcoolsvapnetprofile	infrastructure	intermediate	workshops	 basic knowledge python basic knowledge git basic knowledge cloud computingvirtualization	openstack popular open source cloud computing project currently  openstack code written python devstack primary source considered contribution openstack code the power devstack lies within small trick people understand hugely improve contribution effectiveness quality required time the session handsonlab audience know write code python  want contribute openstack already contributing openstack devstack tricks	True	True	-73
